City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Sosnogorsk,RU,63.6,53.88,48.92,97,100,5.7,overcast clouds
258,Mount Gambier,AU,-37.83,140.77,51.8,81,90,13.87,light intensity shower rain
259,Axim,GH,4.87,-2.24,75.4,88,100,8.57,overcast clouds
260,Royan,FR,45.63,-1.03,68.0,88,100,2.24,overcast clouds
261,Paamiut,GL,61.99,-49.67,47.19,65,0,6.89,clear sky
262,Haines Junction,CA,60.75,-137.51,59.34,62,37,2.19,light rain
263,Russkaya Polyana,UA,49.42,31.92,64.63,46,41,2.62,scattered clouds
264,Ochamchira,GE,42.71,41.47,67.84,83,0,2.98,clear sky
265,Saint-Augustin,CA,51.23,-58.65,56.88,93,100,18.1,moderate rain
266,Bac Lieu,VN,9.29,105.72,82.81,77,100,7.34,overcast clouds
267,Santa Cruz De La Palma,ES,28.68,-17.76,72.0,83,0,10.29,clear sky
268,Campoverde,PE,-8.48,-74.81,82.67,56,91,0.43,overcast clouds
269,Vostok,RU,46.49,135.88,59.13,98,100,3.29,light rain
270,Lorengau,PG,-2.02,147.27,85.37,67,15,8.59,few clouds
271,Tricase,IT,39.93,18.36,77.0,94,75,5.82,broken clouds
272,Eyl,SO,7.98,49.82,78.51,73,12,20.45,few clouds
273,Lompoc,US,34.64,-120.46,73.99,68,1,9.17,clear sky
274,Upernavik,GL,72.79,-56.15,46.72,68,100,9.64,overcast clouds
275,Bubaque,GW,11.28,-15.83,80.73,84,100,13.33,moderate rain
276,Lata,PT,40.16,-8.33,70.0,87,13,1.99,few clouds
277,Chokwe,MZ,-24.53,32.98,64.51,65,100,15.41,overcast clouds
278,Yebaishou,CN,41.4,119.64,66.94,82,100,5.3,overcast clouds
279,Havre-Saint-Pierre,CA,50.23,-63.6,60.8,93,90,6.93,overcast clouds
280,Katesh,TZ,-4.52,35.38,54.9,89,81,9.15,broken clouds
281,Bocas Del Toro,PA,9.33,-82.25,64.99,100,100,3.44,overcast clouds
282,Faanui,PF,-16.48,-151.75,77.77,77,0,19.35,clear sky
283,Krasnoselkup,RU,65.7,82.47,63.79,56,3,13.85,clear sky
284,Whitianga,NZ,-36.83,175.7,59.0,95,100,1.99,moderate rain
285,Tura,IN,25.52,90.22,82.4,77,17,5.26,few clouds
286,Bar Harbor,US,44.39,-68.2,64.99,93,1,7.76,light rain
287,Takoradi,GH,4.88,-1.76,75.43,86,97,8.5,light rain
288,Bengkulu,ID,-3.8,102.27,86.54,61,14,2.3,few clouds
289,Slave Lake,CA,55.28,-114.77,73.4,69,1,6.93,clear sky
290,Bathsheba,BB,13.22,-59.52,82.4,78,75,16.11,shower rain
291,Barabai,ID,-2.58,115.38,86.23,54,52,0.54,broken clouds
292,Newport,GB,51.59,-3.0,62.01,96,100,5.97,overcast clouds
293,Stromness,GB,58.97,-3.3,57.2,100,18,4.7,few clouds
294,Ola,RU,59.58,151.28,52.23,88,100,14.25,light rain
295,Waipawa,NZ,-41.41,175.52,54.0,93,100,5.82,light rain
296,Palauig,PH,15.44,119.9,84.79,71,99,3.94,light rain
297,Richards Bay,ZA,-28.78,32.04,56.21,48,0,10.09,clear sky
298,Ouro Preto Do Oeste,BR,-10.75,-62.22,80.19,35,0,3.71,clear sky
299,Jishou,CN,28.32,109.72,89.76,62,55,2.33,light rain
300,Beloha,MG,-25.17,45.05,64.26,58,0,7.18,clear sky
301,East London,ZA,-33.02,27.91,55.33,64,100,30.27,light rain
302,Sonkovo,RU,57.78,37.16,47.73,85,7,2.08,clear sky
303,Ilo,PE,-17.64,-71.34,57.56,78,75,5.53,broken clouds
304,Honningsvag,NO,70.98,25.97,51.78,79,98,9.24,overcast clouds
305,Shahreza,IR,32.03,51.88,70.11,30,0,3.8,clear sky
306,Mehamn,NO,71.04,27.85,50.25,80,96,6.89,overcast clouds
307,Namibe,AO,-15.2,12.15,59.52,80,0,0.96,clear sky
308,Lavrentiya,RU,65.58,-171.0,53.47,69,92,6.89,overcast clouds
309,Kamenka,RU,51.32,42.77,61.27,61,68,4.41,broken clouds
310,Ulladulla,AU,-35.35,150.47,63.0,36,47,19.46,scattered clouds
311,Ulagan,RU,50.63,87.96,62.11,51,39,2.48,scattered clouds
312,Makokou,GA,0.57,12.86,69.51,95,100,3.18,overcast clouds
313,Porto Seguro,BR,-16.45,-39.06,73.4,78,20,8.05,few clouds
314,Two Rivers,US,44.15,-87.57,63.0,77,1,6.44,clear sky
315,Eureka,US,40.8,-124.16,64.0,81,9,3.0,clear sky
316,Dharchula,IN,29.85,80.53,72.7,75,96,1.48,light rain
317,Codrington,AU,-38.27,141.97,53.55,73,96,16.55,light rain
318,Pangody,RU,65.85,74.49,62.42,62,100,16.64,overcast clouds
319,Dyersburg,US,36.03,-89.39,75.2,78,1,8.05,clear sky
320,Sao Joaquim,BR,-28.29,-49.93,52.39,100,100,7.65,overcast clouds
321,Trinidad,BO,-14.83,-64.9,86.79,28,31,6.67,scattered clouds
322,Chachapoyas,PE,-6.23,-77.87,54.88,86,27,1.03,scattered clouds
323,Fort-Shevchenko,KZ,44.51,50.26,73.49,63,0,4.88,clear sky
324,Canavieiras,BR,-15.68,-38.95,71.56,91,22,6.2,light rain
325,Morrope,PE,-6.54,-80.01,60.13,86,100,15.82,overcast clouds
326,Puerto Escondido,MX,15.85,-97.07,81.34,80,96,8.01,light rain
327,Luocheng,CN,29.38,104.03,71.83,80,100,1.61,overcast clouds
328,Ndele,CF,8.41,20.65,70.66,94,100,1.5,overcast clouds
329,Babol,IR,36.55,52.68,73.4,83,75,6.93,broken clouds
330,Esperance,AU,-33.87,121.9,51.8,100,90,16.11,overcast clouds
331,Sobolevo,RU,54.43,31.9,57.6,96,100,5.32,moderate rain
332,Severo-Kurilsk,RU,50.68,156.12,51.82,84,100,14.43,overcast clouds
333,Krasnyy Gulyay,RU,54.03,48.33,46.4,100,85,4.47,overcast clouds
334,Coquimbo,CL,-29.95,-71.34,51.8,76,90,4.7,overcast clouds
335,Banda Aceh,ID,5.56,95.32,85.05,64,98,3.53,overcast clouds
336,Fukue,JP,32.69,128.84,89.6,62,40,6.93,scattered clouds
337,Bandrele,YT,-12.91,45.19,75.2,83,56,2.24,light rain
338,Leningradskiy,RU,69.38,178.42,51.06,51,30,9.08,scattered clouds
339,Weligama,LK,5.97,80.42,81.77,77,95,9.48,overcast clouds
340,Lerwick,GB,60.15,-1.15,57.2,100,100,1.12,mist
341,Gagnoa,CI,6.13,-5.94,70.12,95,90,3.24,overcast clouds
342,Grand-Lahou,CI,5.14,-5.02,73.45,93,39,6.82,light rain
343,Milkovo,RU,54.72,158.62,66.13,61,100,7.31,overcast clouds
344,Les Cayes,HT,18.2,-73.75,81.36,80,60,2.06,light rain
345,Wuxue,CN,29.85,115.55,91.38,63,68,7.43,broken clouds
346,Lazaro Cardenas,MX,17.96,-102.2,79.16,81,97,4.65,overcast clouds
347,Cayenne,GF,4.93,-52.33,80.6,88,90,4.7,overcast clouds
348,Biltine,TD,14.53,20.92,79.77,68,63,5.35,broken clouds
349,Manado,ID,1.49,124.85,89.6,46,20,2.24,few clouds
350,Katiola,CI,8.13,-5.1,70.25,96,95,5.7,overcast clouds
